dme	-1785.987408
meth	-1766.531474
eth	-1879.885018
pr2	-2072.607246
thl	-2089.514536
c6h5	-1883.076259
c2h3	-1729.412165
c2h 	-1728.153129
ch3	-1691.324458
tch3	-1809.288023
c3h7	-1769.949792
h	-1652.003971
cl	-2111.592946
br	-4225.275167
f	-1751.228382
conhr	-1860.042992
conh2	-1820.731773
cooch3	-1879.898322
coch3	-1804.647453
coh	-1765.336758
cof	-1864.593996
cocl	-2224.945194
cf3	-1989.043958
ccl3	-3070.083846
cbr3	-9411.126546
cn	-1744.253268
soor	-2239.918194
no2	-1856.511395
soocf3	-2537.605987
ph_p_cl	-2342.654596
ph_o_cl	-2342.66903
ph_m_cl	-2342.670373
ph_o_cf3	-2220.117477
ph_m_cf3	-2220.100038
ph_p_cf3	-2220.10038
ph_p_ch3	-1922.383464
ph_p_och3	-1997.592127
ph_op_ch3	-2001.04282
ph_op_och3	-2226.674197
piperidine	-1902.73325
paryl2	-2456.096523
naryl2	-2169.48773
